research_field,response
Fire Science and,"[
{
""topic_words"": [""wildfire"", ""behavior"", ""propagation"", ""fuels"", ""weather""],
""topic_label"": ""Wildfire Behavior Prediction""
},
{
""topic_words"": [""combustion"", ""flame"", ""kinetics"", ""thermal"", ""pyrolysis""],
""topic_label"": ""Combustion and Thermal Science""
},
{
""topic_words"": [""suppression"", ""extinguishment"", ""agents"", ""foam"", ""water""],
""topic_label"": ""Fire Suppression Technology""
},
{
""topic_words"": [""detection"", ""sensor"", ""alarm"", ""smoke"", ""early""],
""topic_label"": ""Early Fire Detection Systems""
},
{
""topic_words"": [""structure"", ""dynamics"", ""building"", ""safety"", ""modeling""],
""topic_label"": ""Structural Fire Dynamics""
},
{
""topic_words"": [""prevention"", ""mitigation"", ""risk"", ""management"", ""policy""],
""topic    _label"": ""Fire Risk Management""
},
{
""topic_words"": [""smoke"", ""toxicity"", ""inhalation"", ""gases"", ""health""],
""topic_label"": ""Smoke Toxicology and Health""
}
]"
Byzantine and Modern Greek,"[
{
""topic_words"": [""hagia"", ""sophia"", ""iconography"", ""mosaics"", ""architecture""],
""topic_label"": ""Byzantine Art & Architecture""
},
{
""topic_words"": [""koine"", ""demotic"", ""puristic"", ""diglossia"", ""language""],
""topic_label"": ""Modern Greek Linguistics""
},
{
""topic_words"": [""ottoman"", ""occupation"", ""identity"", ""nation"", ""revolution""],
""topic_label"": ""Greek National Identity Formation""
},
{
""topic_words"": [""palaiologos"", ""constantinople"", ""empire"", ""fall"", ""orthodox""],
""topic_label"": ""Late Byzantine History""
},
{
""topic_words"": [""cavafy"", ""seferis"", ""elytis"", ""palamas"", ""poetry""],
""topic_label"": ""20th Century Greek Poetry""
},
{
""topic_words"": [""manuscripts"", ""codices"", ""paleography"", ""scribes"", ""texts""],
""topic_label"": ""Byzantine Textual Studies""
},
{
""topic_words"": [""migration"", ""diaspora"", ""cyprus"", ""balkans"", ""politics""],
""topic_label"": ""Contemporary Greek Studies""
}
]"
Contemporary Art,"[
{
""topic_words"": [""installation"", ""immersive"", ""site-specific"", ""viewer"", ""experience""],
""topic_label"": ""Installation and Immersive Art""
},
{
""topic_words"": [""global"", ""biennale"", ""market"", ""curation"", ""institution""],
""topic_label"": ""Global Art World Dynamics""
},
{
""topic_words"": [""performance"", ""body"", ""live"", ""duration"", ""act""],
""topic_label"": ""Contemporary Performance Art""
},
{
""topic_words"": [""activism"", ""politics"", ""social"", ""engaged"", ""protest""],
""topic_label"": ""Art and Social Activism""
},
{
""topic_words"": [""digital"", ""internet"", ""post-internet"", ""media"", ""new""],
""topic_label"": ""Digital and New Media Art""
},
{
""topic_words"": [""identity"", ""gender"", ""race"", ""queer"", ""representation""],
""topic_label"": ""Identity and Representation""
},
{
""topic_words"": [""relational"", ""aesthetics"", ""participation"", ""community"", ""dialogue""],
""topic_label"": ""Relational Aesthetics Theory""
}
]"
Space Habitation and Life Support,"[
{
""topic_words"": [""oxygen"", ""carbon"", ""water"", ""revitalization"", ""recycling""],
""topic_label"": ""Closed-Loop Life Support""
},
{
""topic_words"": [""radiation"", ""shielding"", ""exposure"", ""risk"", ""mitigation""],
""topic_label"": ""Space Radiation Protection""
},
{
""topic_words"": [""microgravity"", ""bone"", ""muscle"", ""atrophy"", ""countermeasures""],
""topic_label"": ""Crew Health and Microgravity""
},
{
""topic_words"": [""psychology"", ""isolation"", ""crew"", ""behavior"", ""performance""],
""topic_label"": ""Human Factors and Psychology""
},
{
""topic_words"": [""habitat"", ""inflatable"", ""structural"", ""design"", ""pressure""],
""topic_label"": ""Space Habitat Architecture""
},
{
""topic_words"": [""food"", ""production"", ""bioregenerative"", ""crops"", ""nutrition""],
""topic_label"": ""Space Food and Agriculture""
},
{
""topic_words"": [""monitoring"", ""sensors"", ""microbial"", ""air"", ""diagnostics""],
""topic_label"": ""Environmental Health Monitoring""
}
]"
Psychological Phenomena and Processes,"[
{
""topic_words"": [""perception"", ""sensation"", ""attention"", ""cognitive"", ""processing""],
""topic_label"": ""Sensory and Cognitive Processes""
},
{
""topic_words"": [""memory"", ""encoding"", ""retrieval"", ""recall"", ""forgetting""],
""topic_label"": ""Memory Mechanisms and Failures""
},
{
""topic_words"": [""emotion"", ""affective"", ""regulation"", ""mood"", ""feeling""],
""topic_label"": ""Emotional States and Regulation""
},
{
""topic_words"": [""motivation"", ""drive"", ""incentive"", ""goal"", ""behavior""],
""topic_label"": ""Motivation and Goal-Directed Behavior""
},
{
""topic_words"": [""learning"", ""conditioning"", ""acquisition"", ""reinforcement"", ""classical""],
""topic_label"": ""Classical and Operant Learning""
},
{
""topic_words"": [""language"", ""speech"", ""comprehension"", ""production"", ""linguistic""],
""topic_label"": ""Language Comprehension and Production""
},
{
""topic_words"": [""decision"", ""judgment"", ""heuristics"", ""bias"", ""rationality""],
""topic_label"": ""Decision Making and Biases""
}
]"
Cataloging and Metadata,"[
{
""topic_words"": [""marc"", ""bibliographic"", ""authority"", ""records"", ""formats""],
""topic_label"": ""MARC Bibliographic Standards""
},
{
""topic_words"": [""dublin"", ""core"", ""schema"", ""elements"", ""metadata""],
""topic_label"": ""Dublin Core Metadata Schema""
},
{
""topic_words"": [""rda"", ""frbr"", ""isbd"", ""descriptive"", ""access""],
""topic_label"": ""Resource Description and Access""
},
{
""topic_words"": [""ontology"", ""semantic"", ""web"", ""linked"", ""data""],
""topic_label"": ""Semantic Web and Linked Data""
},
{
""topic_words"": [""digital"", ""preservation"", ""repositories"", ""long-term"", ""management""],
""topic_label"": ""Digital Preservation and Management""
},
{
""topic_words"": [""controlled"", ""vocabulary"", ""thesaurus"", ""subject"", ""indexing""],
""topic_label"": ""Controlled Vocabulary and Indexing""
},
{
""topic_words"": [""discoverability"", ""search"", ""retrieval"", ""systems"", ""enhancement""],
""topic_label"": ""Information Discovery and Retrieval""
}
]"
"Demography, Population, and Ecology","[
{
""topic_words"": [""fertility"", ""births"", ""rates"", ""cohort"", ""reproduction""],
""topic_label"": ""Fertility and Birth Rate Analysis""
},
{
""topic_words"": [""mortality"", ""death"", ""lifespan"", ""infant"", ""epidemiology""],
""topic_label"": ""Mortality and Lifespan Studies""
},
{
""topic_words"": [""migration"", ""immigration"", ""emigration"", ""movement"", ""mobility""],
""topic_label"": ""Population Migration Patterns""
},
{
""topic_words"": [""carrying"", ""capacity"", ""resources"", ""growth"", ""limiting""],
""topic_label"": ""Population Carrying Capacity""
},
{
""topic_words"": [""age"", ""structure"", ""pyramid"", ""dependency"", ""demographic""],
""topic_label"": ""Population Age Structure""
},
{
""topic_words"": [""logistic"", ""exponential"", ""growth"", ""dynamics"", ""density""],
""topic_label"": ""Population Growth Models""
},
{
""topic_words"": [""survivorship"", ""life"", ""tables"", ""expectancy"", ""probability""],
""topic_label"": ""Survivorship and Life Tables""
}
]"
French and Francophone,"[
{
""topic_words"": [""language"", ""contact"", ""creoles"", ""pidgins"", ""variation""],
""topic_label"": ""French Language Contact & Variation""
},
{
""topic_words"": [""postcolonial"", ""identity"", ""maghreb"", ""literature"", ""neocolonialism""],
""topic_label"": ""Postcolonial Francophone Literature""
},
{
""topic_words"": [""medieval"", ""chivalry"", ""epic"", ""manuscript"", ""romance""],
""topic_label"": ""Medieval French Literature""
},
{
""topic_words"": [""quebec"", ""sociolinguistics"", ""joual"", ""dialect"", ""phonology""],
""topic_label"": ""Quebec French Sociolinguistics""
},
{
""topic_words"": [""paris"", ""nineteenth"", ""baudelaire"", ""haussmann"", ""modernity""],
""topic_label"": ""19th Century French Modernity""
},
{
""topic_words"": [""cinema"", ""nouvelle"", ""vague"", ""auteur"", ""film""],
""topic_label"": ""French New Wave Cinema""
},
{
""topic_words"": [""enlightenment"", ""philosophes"", ""revolution"", ""rationalism"", ""salon""],
""topic_label"": ""French Enlightenment Thought""
}
]"
Climate,"[
{
""topic_words"": [""greenhouse"", ""emissions"", ""carbon"", ""forcing"", ""warming""],
""topic_label"": ""Greenhouse Gas Emissions""
},
{
""topic_words"": [""ice"", ""glacier"", ""sea"", ""melting"", ""level""],
""topic_label"": ""Cryosphere and Sea Level""
},
{
""topic_words"": [""model"", ""simulation"", ""projection"", ""predict"", ""coupled""],
""topic_label"": ""Climate Modeling""
},
{
""topic_words"": [""precipitation"", ""drought"", ""rainfall"", ""patterns"", ""extreme""],
""topic_label"": ""Precipitation Extremes""
},
{
""topic_words"": [""ocean"", ""circulation"", ""heat"", ""acidification"", ""thermal""],
""topic_label"": ""Oceanic Climate Processes""
},
{
""topic_words"": [""paleoclimate"", ""proxy"", ""reconstruction"", ""data"", ""history""],
""topic_label"": ""Past Climate Reconstruction""
},
{
""topic_words"": [""adaptation"", ""mitigation"", ""policy"", ""vulnerability"", ""risk""],
""topic_label"": ""Climate Risk and Policy""
}
]"
Fashion Design,"[
{
""topic_words"": [""sustainability"", ""circularity"", ""textiles"", ""waste"", ""lifecycle""],
""topic_label"": ""Sustainable Fashion Practices""
},
{
""topic_words"": [""digital"", ""3d"", ""patterning"", ""virtual"", ""avatar""],
""topic_label"": ""Digital Design and Prototyping""
},
{
""topic_words"": [""couture"", ""craftsmanship"", ""atelier"", ""technique"", ""handwork""],
""topic_label"": ""Haute Couture and Craft""
},
{
""topic_words"": [""trend"", ""forecasting"", ""consumer"", ""market"", ""prediction""],
""topic_label"": ""Fashion Trend Forecasting""
},
{
""topic_words"": [""identity"", ""gender"", ""cultural"", ""representation"", ""social""],
""topic_label"": ""Fashion and Social Identity""
},
{
""topic_words"": [""supply"", ""chain"", ""labor"", ""ethics"", ""transparency""],
""topic_label"": ""Ethical Supply Chain Management""
},
{
""topic_words"": [""wearable"", ""technology"", ""smart"", ""functionality"", ""e-textiles""],
""topic_label"": ""Wearable Technology in Apparel""
}
]"
Nonfiction,"[
{
""topic_words"": [""memoir"", ""autobiography"", ""personal"", ""narrative"", ""experience""],
""topic_label"": ""Personal Narrative and Memoir""
},
{
""topic_words"": [""journalism"", ""investigative"", ""reportage"", ""ethics"", ""facts""],
""topic_label"": ""Investigative Journalism and Reporting""
},
{
""topic_words"": [""biography"", ""subject"", ""historical"", ""life"", ""research""],
""topic_label"": ""Biographical Research and Writing""
},
{
""topic_words"": [""essay"", ""argument"", ""persuasion"", ""critical"", ""reflection""],
""topic_label"": ""Critical and Reflective Essays""
},
{
""topic_words"": [""popular"", ""science"", ""explanation"", ""reader"", ""complex""],
""topic_label"": ""Popular Science Communication""
},
{
""topic_words"": [""history"", ""archive"", ""source"", ""evidence"", ""interpretation""],
""topic_label"": ""Historical Nonfiction Sources""
},
{
""topic_words"": [""travel"", ""place"", ""culture"", ""destination"", ""observation""],
""topic_label"": ""Travel Writing and Observation""
}
]"
"Literature in English, North America","[
{
""topic_words"": [""modernism"", ""postmodernism"", ""experimental"", ""aesthetics"", ""narrative""],
""topic_label"": ""20th Century Literary Movements""
},
{
""topic_words"": [""slavery"", ""emancipation"", ""resistance"", ""abolition"", ""autobiography""],
""topic_label"": ""Antebellum Slavery Narratives""
},
{
""topic_words"": [""gothic"", ""romance"", ""frontier"", ""wilderness"", ""puritanism""],
""topic_label"": ""Early American Literature""
},
{
""topic_words"": [""race"", ""identity"", ""diaspora"", ""migration"", ""culture""],
""topic_label"": ""African American Literature""
},
{
""topic_words"": [""gender"", ""feminism"", ""sexuality"", ""patriarchy"", ""body""],
""topic_label"": ""Feminist Literary Criticism""
},
{
""topic_words"": [""poetry"", ""verse"", ""meter"", ""line"", ""form""],
""topic_label"": ""American Poetics and Form""
},
{
""topic_words"": [""indigenous"", ""oral"", ""storytelling"", ""sovereignty"", ""settler""],
""topic_label"": ""Native American Literary Studies""
}
]"
Screenwriting,"[
{
""topic_words"": [""plot"", ""structure"", ""three-act"", ""paradigm"", ""sequence""],
""topic_label"": ""Narrative Plot Structure""
},
{
""topic_words"": [""character"", ""development"", ""arc"", ""motivation"", ""dialogue""],
""topic_label"": ""Character and Dialogue""
},
{
""topic_words"": [""scene"", ""heading"", ""action"", ""transition"", ""format""],
""topic_label"": ""Screenplay Formatting""
},
{
""topic_words"": [""genre"", ""tropes"", ""conventions"", ""subversion"", ""style""],
""topic_label"": ""Genre Studies""
},
{
""topic_words"": [""visual"", ""language"", ""subtext"", ""mise-en-scène"", ""imagery""],
""topic_label"": ""Visual Storytelling""
},
{
""topic_words"": [""adaptation"", ""source"", ""material"", ""translation"", ""narrative""],
""topic_label"": ""Screenplay Adaptation""
},
{
""topic_words"": [""pitch"", ""treatment"", ""logline"", ""synopsis"", ""outline""],
""topic_label"": ""Pre-writing and Pitching""
}
]"
Feminist Philosophy,"[
{
""topic_words"": [""gender"", ""power"", ""patriarchy"", ""oppression"", ""resistance""],
""topic_label"": ""Gender, Power, and Patriarchy""
},
{
""topic_words"": [""epistemology"", ""standpoint"", ""knowledge"", ""objectivity"", ""situated""],
""topic_label"": ""Feminist Standpoint Epistemology""
},
{
""topic_words"": [""body"", ""embodiment"", ""materiality"", ""sexuality"", ""experience""],
""topic_label"": ""Feminist Philosophy of the Body""
},
{
""topic_words"": [""care"", ""ethics"", ""relationality"", ""justice"", ""dependency""],
""topic_label"": ""Ethics of Care""
},
{
""topic_words"": [""race"", ""intersectionality"", ""class"", ""sexism"", ""multiplicity""],
""topic_label"": ""Intersectionality and Difference""
},
{
""topic_words"": [""language"", ""discourse"", ""subjectivity"", ""meaning"", ""representation""],
""topic_label"": ""Language and Subjectivity""
},
{
""topic_words"": [""agency"", ""autonomy"", ""freedom"", ""choice"", ""self-determination""],
""topic_label"": ""Feminist Concepts of Agency""
}
]"
Tropical Medicine,"[
{
""topic_words"": [""malaria"", ""plasmodium"", ""vector"", ""control"", ""drug""],
""topic_label"": ""Malaria Pathogenesis and Control""
},
{
""topic_words"": [""neglected"", ""diseases"", ""prevention"", ""treatment"", ""population""],
""topic_label"": ""Neglected Tropical Diseases""
},
{
""topic_words"": [""climate"", ""change"", ""distribution"", ""modeling"", ""outbreaks""],
""topic_label"": ""Climate Impact on Disease""
},
{
""topic_words"": [""leishmaniasis"", ""sandfly"", ""parasite"", ""cutaneous"", ""visceral""],
""topic_label"": ""Leishmaniasis Epidemiology""
},
{
""topic_words"": [""dengue"", ""mosquito"", ""aedes"", ""fever"", ""virus""],
""topic_label"": ""Dengue Virus Transmission""
},
{
""topic_words"": [""schistosomiasis"", ""snail"", ""water"", ""worm"", ""infection""],
""topic_label"": ""Schistosomiasis and Snails""
},
{
""topic_words"": [""vaccine"", ""development"", ""efficacy"", ""clinical"", ""trials""],
""topic_label"": ""Tropical Vaccine Development""
}
]"
Sports Sociology,"[
{
""topic_words"": [""gender"", ""equality"", ""masculinity"", ""femininity"", ""sexism""],
""topic_label"": ""Gender and Sports Inequality""
},
{
""topic_words"": [""race"", ""ethnicity"", ""racism"", ""representation"", ""stereotypes""],
""topic_label"": ""Race and Ethnic Relations in Sport""
},
{
""topic_words"": [""capitalism"", ""commercialization"", ""media"", ""spectatorship"", ""globalization""],
""topic_label"": ""Commercialization and Global Sport""
},
{
""topic_words"": [""violence"", ""aggression"", ""deviance"", ""hooliganism"", ""ethics""],
""topic_label"": ""Sport Violence and Deviance""
},
{
""topic_words"": [""socialization"", ""identity"", ""community"", ""youth"", ""participation""],
""topic_label"": ""Sport, Identity, and Community""
},
{
""topic_words"": [""power"", ""structure"", ""governance"", ""policy"", ""organization""],
""topic_label"": ""Sport Power and Governance""
},
{
""topic_words"": [""body"", ""performance"", ""disability"", ""health"", ""technology""],
""topic_label"": ""The Sporting Body and Health""
}
]"
Islamic Studies,"[
{ ""topic_words"": [""quran"", ""revelation"", ""interpretation"", ""tafsir"", ""text""], ""topic_label"": ""Quranic Studies and Exegesis"" },
{ ""topic_words"": [""sharia"", ""fiqh"", ""law"", ""jurisprudence"", ""ethics""], ""topic_label"": ""Islamic Law and Jurisprudence"" },
{ ""topic_words"": [""hadith"", ""sunna"", ""prophet"", ""tradition"", ""narration""], ""topic_label"": ""Hadith and Prophetic Tradition"" },
{ ""topic_words"": [""sufism"", ""mysticism"", ""tariqa"", ""asceticism"", ""esoteric""], ""topic_label"": ""Islamic Mysticism and Sufism"" },
{ ""topic_words"": [""caliphate"", ""empire"", ""ottoman"", ""modernity"", ""postcolonial""], ""topic_label"": ""Islamic Political History"" },
{ ""topic_words"": [""theology"", ""kalam"", ""philosophy"", ""rationalism"", ""creed""], ""topic_label"": ""Islamic Philosophy and Theology"" },
{ ""topic_words"": [""mosque"", ""art"", ""architecture"", ""calligraphy"", ""patronage""], ""topic_label"": ""Islamic Art and Architecture"" }
]"
Physical Therapy,"[ { ""topic_words"": [""rehabilitation"", ""exercise"", ""strength"", ""mobility"", ""function""], ""topic_label"": ""Musculoskeletal Rehabilitation & Function"" }, { ""topic_words"": [""pain"", ""chronic"", ""management"", ""relief"", ""nociception""], ""topic_label"": ""Chronic Pain Management Strategies"" }, { ""topic_words"": [""neurological"", ""stroke"", ""spinal"", ""recovery"", ""plasticity""], ""topic_label"": ""Neurorehabilitation and Recovery"" }, { ""topic_words"": [""gait"", ""balance"", ""fall"", ""posture"", ""locomotion""], ""topic_label"": ""Gait and Balance Training"" }, { ""topic_words"": [""manual"", ""therapy"", ""mobilization"", ""manipulation"", ""soft""], ""topic_label"": ""Techniques in Manual Therapy"" }, { ""topic_words"": [""pediatric"", ""development"", ""milestone"", ""motor"", ""child""], ""topic_label"": ""Pediatric Physical Therapy"" }, { ""topic_words"": [""telehealth"", ""digital"", ""remote"", ""wearable"", ""monitoring""], ""topic_label"": ""Digital Health in Physical Therapy"" } ]"
"Ancient History, Greek and Roman through Late Antiquity","[
{
""topic_words"": [""roman"", ""empire"", ""byzantine"", ""barbarian"", ""migration""],
""topic_label"": ""Transition from Roman Empire""
},
{
""topic_words"": [""paganism"", ""christianity"", ""conversion"", ""theology"", ""syncretism""],
""topic_label"": ""Religious Change and Conflict""
},
{
""topic_words"": [""constantinople"", ""hagia"", ""sophia"", ""urban"", ""public""],
""topic_label"": ""Late Antique Urban Centers""
},
{
""topic_words"": [""codex"", ""law"", ""justinian"", ""theodosian"", ""legal""],
""topic_label"": ""Late Roman Legal Developments""
},
{
""topic_words"": [""papyrus"", ""epigraphy"", ""archaeology"", ""manuscript"", ""sources""],
""topic_label"": ""Material and Textual Sources""
},
{
""topic_words"": [""silk"", ""trade"", ""spice"", ""economic"", ""goods""],
""topic_label"": ""Late Antique Trade Routes""
},
{
""topic_words"": [""slavery"", ""labor"", ""landholding"", ""rural"", ""society""],
""topic_label"": ""Rural Economy and Society""
}
]"
German Linguistics,"[
{
""topic_words"": [""kasus"", ""genus"", ""numerus"", ""flexion"", ""adjektiv""],
""topic_label"": ""Morphological Case and Inflection""
},
{
""topic_words"": [""dialekt"", ""varianz"", ""lautverschiebung"", ""isoglosse"", ""regionalsprache""],
""topic_label"": ""Dialectology and Linguistic Variation""
},
{
""topic_words"": [""mittelhochdeutsch"", ""althochdeutsch"", ""historisch"", ""wandel"", ""sprachentwicklung""],
""topic_label"": ""Historical German Language Change""
},
{
""topic_words"": [""satzbau"", ""verbzweit"", ""hauptsatz"", ""nebensatz"", ""w-frage""],
""topic_label"": ""German Sentence Structure (Syntax)""
},
{
""topic_words"": [""lehnwort"", ""entlehnung"", ""anglizismus"", ""purismus"", ""sprachkontakt""],
""topic_label"": ""Loanwords and Language Contact""
},
{
""topic_words"": [""vokal"", ""konsonanten"", ""artikulation"", ""phonologie"", ""akzent""],
""topic_label"": ""German Phonetics and Phonology""
},
{
""topic_words"": [""wortbildung"", ""komposita"", ""derivation"", ""zusammensetzung"", ""neologismus""],
""topic_label"": ""German Word Formation""
}
]"
"Pathological Conditions, Signs and Symptoms","[
{
""topic_words"": [""inflammation"", ""fever"", ""pain"", ""swelling"", ""redness""],
""topic_label"": ""Acute Inflammatory Response""
},
{
""topic_words"": [""diagnosis"", ""etiology"", ""prognosis"", ""syndrome"", ""complication""],
""topic_label"": ""Disease Diagnosis and Course""
},
{
""topic_words"": [""fatigue"", ""malaise"", ""weakness"", ""lethargy"", ""asthenia""],
""topic_label"": ""Systemic Non-Specific Symptoms""
},
{
""topic_words"": [""lesion"", ""mass"", ""tumor"", ""neoplasm"", ""biopsy""],
""topic_label"": ""Pathological Tissue Changes""
},
{
""topic_words"": [""ischemia"", ""necrosis"", ""infarction"", ""apoptosis"", ""atrophy""],
""topic_label"": ""Cellular Injury and Death""
},
{
""topic_words"": [""cough"", ""dyspnea"", ""wheezing"", ""hemoptysis"", ""cyanosis""],
""topic_label"": ""Respiratory Manifestations""
},
{
""topic_words"": [""hyperglycemia"", ""hypotension"", ""acidosis"", ""arrhythmia"", ""edema""],
""topic_label"": ""Physiological Imbalances""
}
]"
Virus Diseases,"[
{
""topic_words"": [""replication"", ""cycle"", ""rna"", ""dna"", ""assembly""],
""topic_label"": ""Viral Replication Mechanisms""
},
{
""topic_words"": [""antiviral"", ""inhibitor"", ""drug"", ""therapy"", ""resistance""],
""topic_label"": ""Antiviral Drug Development""
},
{
""topic_words"": [""vaccine"", ""development"", ""efficacy"", ""adjuvant"", ""immunization""],
""topic_label"": ""Vaccine Development and Efficacy""
},
{
""topic_words"": [""host"", ""cell"", ""infection"", ""tropism"", ""receptor""],
""topic_label"": ""Host-Virus Interaction""
},
{
""topic_words"": [""epidemiology"", ""transmission"", ""outbreak"", ""surveillance"", ""modeling""],
""topic_label"": ""Viral Epidemiology and Modeling""
},
{
""topic_words"": [""innate"", ""adaptive"", ""interferon"", ""cytokine"", ""response""],
""topic_label"": ""Viral Immunology and Response""
},
{
""topic_words"": [""envelope"", ""capsid"", ""glycoprotein"", ""structure"", ""virion""],
""topic_label"": ""Viral Structure and Morphology""
}
]"
Classical Archaeology and Art History,"[
{
""topic_words"": [""acropolis"", ""parthenon"", ""temple"", ""sanctuary"", ""architecture""],
""topic_label"": ""Greek Sanctuary Architecture""
},
{
""topic_words"": [""vases"", ""pottery"", ""black-figure"", ""red-figure"", ""ceramics""],
""topic_label"": ""Greek Ceramic Arts""
},
{
""topic_words"": [""roman"", ""forum"", ""aqueduct"", ""infrastructure"", ""cityscape""],
""topic_label"": ""Roman Urban Infrastructure""
},
{
""topic_words"": [""sculpture"", ""bronze"", ""marble"", ""kouros"", ""classical""],
""topic_label"": ""Classical Greek Sculpture""
},
{
""topic_words"": [""fresco"", ""pompeii"", ""wall"", ""painting"", ""domestic""],
""topic_label"": ""Roman Wall Painting""
},
{
""topic_words"": [""funerary"", ""tombs"", ""burial"", ""ritual"", ""mortuary""],
""topic_label"": ""Ancient Mortuary Practices""
},
{
""topic_words"": [""coinage"", ""numismatics"", ""imperial"", ""mint"", ""iconography""],
""topic_label"": ""Classical Numismatics and Iconography""
}
]"
Aeronautical Vehicles,"[
{
""topic_words"": [""aerodynamics"", ""lift"", ""drag"", ""airflow"", ""turbulence""],
""topic_label"": ""Aircraft Aerodynamics Analysis""
},
{
""topic_words"": [""propulsion"", ""engine"", ""thrust"", ""jet"", ""turbofan""],
""topic_label"": ""Aircraft Propulsion Systems""
},
{
""topic_words"": [""control"", ""stability"", ""autopilot"", ""guidance"", ""trajectory""],
""topic_label"": ""Flight Control and Dynamics""
},
{
""topic_words"": [""composite"", ""materials"", ""stress"", ""fatigue"", ""structures""],
""topic_label"": ""Aerospace Structures & Materials""
},
{
""topic_words"": [""unmanned"", ""drone"", ""uav"", ""autonomy"", ""missions""],
""topic_label"": ""Unmanned Aerial Systems""
},
{
""topic_words"": [""navigation"", ""gps"", ""inertial"", ""sensors"", ""communication""],
""topic_label"": ""Vehicle Navigation and Sensing""
},
{
""topic_words"": [""flight"", ""testing"", ""simulation"", ""performance"", ""design""],
""topic_label"": ""Aircraft Design and Testing""
}
]"
Hydraulic Engineering,"[
{
""topic_words"": [""open"", ""channel"", ""flow"", ""mannings"", ""friction""],
""topic_label"": ""Open Channel Flow Modeling""
},
{
""topic_words"": [""sediment"", ""transport"", ""erosion"", ""deposition"", ""rivers""],
""topic_label"": ""River Sediment Transport""
},
{
""topic_words"": [""dams"", ""reservoirs"", ""spillway"", ""hydropower"", ""design""],
""topic_label"": ""Hydraulic Structures and Design""
},
{
""topic_words"": [""pipeline"", ""pump"", ""transient"", ""surge"", ""pressure""],
""topic_label"": ""Pipe Flow and Transients""
},
{
""topic_words"": [""flood"", ""plain"", ""inundation"", ""mapping"", ""risk""],
""topic_label"": ""Floodplain Mapping and Risk""
},
{
""topic_words"": [""groundwater"", ""aquifer"", ""recharge"", ""flow"", ""well""],
""topic_label"": ""Groundwater Flow and Wells""
},
{
""topic_words"": [""coastal"", ""waves"", ""tides"", ""breakwater"", ""harbor""],
""topic_label"": ""Coastal and Harbor Hydraulics""
}
]"
Artificial Intelligence and Robotics,"[
{
""topic_words"": [""reinforcement"", ""agent"", ""reward"", ""policy"", ""q-learning""],
""topic_label"": ""Reinforcement Learning Algorithms""
},
{
""topic_words"": [""neural"", ""network"", ""deep"", ""convolutional"", ""transformer""],
""topic_label"": ""Deep Learning Architectures""
},
{
""topic_words"": [""manipulator"", ""kinematics"", ""dynamics"", ""motion"", ""control""],
""topic_label"": ""Robot Motion and Control""
},
{
""topic_words"": [""perception"", ""vision"", ""sensing"", ""lidar"", ""slam""],
""topic_label"": ""Robotics Perception and SLAM""
},
{
""topic_words"": [""natural"", ""language"", ""processing"", ""semantics"", ""generation""],
""topic_label"": ""Natural Language Processing (NLP)""
},
{
""topic_words"": [""data"", ""bias"", ""fairness"", ""interpretability"", ""ethics""],
""topic_label"": ""AI Ethics and Fairness""
},
{
""topic_words"": [""search"", ""heuristic"", ""optimization"", ""game"", ""tree""],
""topic_label"": ""AI Search and Optimization""
}
]"
Sustainability,"[
{
""topic_words"": [""renewable"", ""solar"", ""wind"", ""geothermal"", ""energy""],
""topic_label"": ""Renewable Energy Sources""
},
{
""topic_words"": [""circular"", ""economy"", ""waste"", ""reuse"", ""design""],
""topic_label"": ""Circular Economy Models""
},
{
""topic_words"": [""carbon"", ""footprint"", ""neutrality"", ""emissions"", ""sequestration""],
""topic_label"": ""Carbon Management and Neutrality""
},
{
""topic_words"": [""urban"", ""planning"", ""smart"", ""cities"", ""infrastructure""],
""topic_label"": ""Sustainable Urban Development""
},
{
""topic_words"": [""food"", ""systems"", ""agriculture"", ""resilience"", ""security""],
""topic_label"": ""Sustainable Food Systems""
},
{
""topic_words"": [""water"", ""management"", ""scarcity"", ""efficiency"", ""treatment""],
""topic_label"": ""Water Resource Management""
},
{
""topic_words"": [""green"", ""building"", ""leed"", ""efficiency"", ""materials""],
""topic_label"": ""Green Building Standards""
}
]"
Eastern European Studies,"[
{
""topic_words"": [""communism"", ""soviet"", ""post-soviet"", ""transition"", ""collapse""],
""topic_label"": ""Post-Communist Political Transition""
},
{
""topic_words"": [""slavic"", ""languages"", ""philology"", ""linguistics"", ""dialects""],
""topic_label"": ""Slavic Languages and Philology""
},
{
""topic_words"": [""orthodox"", ""christianity"", ""religion"", ""church"", ""identity""],
""topic_label"": ""Eastern Orthodox Religion""
},
{
""topic_words"": [""nationalism"", ""ethnic"", ""identity"", ""minorities"", ""conflict""],
""topic_label"": ""Nationalism and Ethnic Conflict""
},
{
""topic_words"": [""folklore"", ""mythology"", ""traditions"", ""oral"", ""culture""],
""topic_label"": ""Eastern European Folklore""
},
{
""topic_words"": [""literature"", ""russian"", ""novel"", ""poetry"", ""writers""],
""topic_label"": ""Russian and Slavic Literature""
},
{
""topic_words"": [""berlin"", ""warsaw"", ""prague"", ""budapest"", ""urban""],
""topic_label"": ""Central European Urban Studies""
}
]"
